Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Cabin_Class,Number_of_Stops,Flight_Layover,Booking_Date,Days_Until_Departure,Is_Holiday_Season,Is_Peak_Season
Jet Airways,2019-05-06,Kolkata,Banglore,CCU → BOM → BLR,18:55,08:15 07 May,13h 20m,1 stop,In-flight meal not included,7757,Business,2,2 Stop(s),2019-04-02,34,0,0
Jet Airways,2019-06-09,Delhi,Cochin,DEL → IDR → BOM → COK,21:25,12:35 10 Jun,15h 10m,2 stops,No info,13292,Business,3,3 Stop(s),2019-05-05,35,0,0
IndiGo,2019-06-01,Delhi,Cochin,DEL → LKO → COK,21:50,03:35 02 Jun,5h 45m,1 stop,No info,8238,Business,2,2 Stop(s),2019-04-26,36,0,0
GoAir,2019-05-15,Delhi,Cochin,DEL → BOM → COK,07:00,12:55,5h 55m,1 stop,No info,7682,Business,2,2 Stop(s),2019-04-08,37,0,0
Vistara,2019-06-18,Banglore,Delhi,BLR → DEL,09:45,12:35,2h 50m,non-stop,No info,4668,Economy,1,1 Stop(s),2019-05-11,38,0,0
Vistara,2019-06-15,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,non-stop,No info,3687,Economy,1,1 Stop(s),2019-05-07,39,0,0
Vistara,2019-06-18,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,non-stop,No info,3687,Economy,1,1 Stop(s),2019-05-09,40,0,0
Air India,2019-05-01,Kolkata,Banglore,CCU → GAU → DEL → BLR,09:50,23:15,13h 25m,2 stops,No info,13227,Business,3,3 Stop(s),2019-03-21,41,1,1
IndiGo,2019-04-06,Banglore,Delhi,BLR → DEL,04:00,06:50,2h 50m,non-stop,No info,4423,Economy,1,1 Stop(s),2019-02-23,42,1,1
Jet Airways,2019-06-15,Delhi,Cochin,DEL → NAG → BOM → COK,14:35,12:35 16 Jun,22h,2 stops,In-flight meal not included,10919,Business,3,3 Stop(s),2019-05-03,43,0,0
Jet Airways,2019-05-18,Delhi,Cochin,DEL → BOM → COK,07:05,12:35,5h 30m,1 stop,In-flight meal not included,12373,Business,2,2 Stop(s),2019-04-04,44,1,1
IndiGo,2019-06-27,Delhi,Cochin,DEL → BOM → COK,10:35,21:00,10h 25m,1 stop,No info,5894,Business,2,2 Stop(s),2019-05-13,45,0,0
SpiceJet,2019-05-21,Kolkata,Banglore,CCU → MAA → BLR,15:05,20:20,5h 15m,1 stop,No info,4649,Economy,2,2 Stop(s),2019-04-05,46,0,0
Air India,2019-05-18,Kolkata,Banglore,CCU → BLR,14:15,16:45,2h 30m,non-stop,No info,6245,Business,1,1 Stop(s),2019-04-01,47,1,1
Jet Airways,2019-03-06,Banglore,New Delhi,BLR → BOM → DEL,07:00,13:15,6h 15m,1 stop,No info,19225,First Class,2,2 Stop(s),2019-01-17,48,0,1
Jet Airways,2019-06-03,Delhi,Cochin,DEL → BOM → COK,07:05,19:00,11h 55m,1 stop,No info,14924,Business,2,2 Stop(s),2019-04-15,49,0,0
Multiple carriers,2019-05-21,Delhi,Cochin,DEL → HYD → COK,07:05,18:10,11h 5m,1 stop,No info,9646,Business,2,2 Stop(s),2019-04-01,50,0,0
Air India,2019-03-15,Banglore,New Delhi,BLR → BOM → DEL,06:45,15:15,8h 30m,1 stop,No info,8714,Business,2,2 Stop(s),2019-01-23,51,0,1
Jet Airways,2019-05-18,Delhi,Cochin,DEL → BOM → COK,20:55,19:00 19 May,22h 5m,1 stop,In-flight meal not included,12373,Business,2,2 Stop(s),2019-03-27,52,1,1
Air Asia,2019-05-06,Banglore,Delhi,BLR → DEL,11:10,13:55,2h 45m,non-stop,No info,3383,Economy,1,1 Stop(s),2019-03-14,53,0,0
Multiple carriers,2019-03-21,Delhi,Cochin,DEL → BOM → COK,09:00,21:00,12h,1 stop,No info,13062,Business,2,2 Stop(s),2019-01-26,54,1,1
SpiceJet,2019-03-24,Banglore,New Delhi,BLR → DEL,05:45,08:35,2h 50m,non-stop,No check-in baggage included,3527,Economy,1,1 Stop(s),2019-01-28,55,0,1
IndiGo,2019-05-27,Banglore,Delhi,BLR → DEL,04:00,06:50,2h 50m,non-stop,No info,3943,Economy,1,1 Stop(s),2019-04-01,56,0,0
Air India,2019-05-03,Chennai,Kolkata,MAA → CCU,11:40,13:55,2h 15m,non-stop,No info,4667,Economy,1,1 Stop(s),2019-03-07,57,0,0
Air India,2019-05-15,Kolkata,Banglore,CCU → HYD → BLR,19:00,11:05 16 May,16h 5m,1 stop,No info,6117,Business,2,2 Stop(s),2019-03-18,58,0,0
Jet Airways,2019-06-27,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,19:00 28 Jun,19h 55m,2 stops,In-flight meal not included,11150,Business,3,3 Stop(s),2019-04-29,59,0,0
Jet Airways,2019-03-09,Delhi,Cochin,DEL → COK,11:00,14:15,3h 15m,non-stop,In-flight meal not included,7202,Business,1,1 Stop(s),2019-02-27,10,0,1
Jet Airways,2019-05-01,Kolkata,Banglore,CCU → DEL → BLR,09:35,10:55 02 May,25h 20m,1 stop,No info,12121,Business,2,2 Stop(s),2019-04-20,11,1,1
IndiGo,2019-03-24,Banglore,New Delhi,BLR → DEL,22:20,01:10 28 Mar,2h 50m,non-stop,No info,4377,Economy,1,1 Stop(s),2019-03-12,12,0,1
IndiGo,2019-06-18,Banglore,Delhi,BLR → DEL,21:15,00:15 19 Jun,3h,non-stop,No info,3943,Economy,1,1 Stop(s),2019-06-05,13,0,0
Air Asia,2019-04-03,Banglore,Delhi,BLR → DEL,23:55,02:45 04 Apr,2h 50m,non-stop,No info,4483,Economy,1,1 Stop(s),2019-03-20,14,0,1
Jet Airways,2019-03-24,Kolkata,Banglore,CCU → BOM → BLR,19:45,12:00 25 Mar,16h 15m,1 stop,No info,14231,Business,2,2 Stop(s),2019-03-09,15,0,1
Air India,2019-03-01,Banglore,New Delhi,BLR → BOM → AMD → DEL,08:50,23:55,15h 5m,2 stops,No info,17345,First Class,3,3 Stop(s),2019-02-13,16,1,1
Vistara,2019-03-06,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,non-stop,No info,7414,Business,1,1 Stop(s),2019-02-17,17,0,1
Multiple carriers,2019-05-06,Delhi,Cochin,DEL → BOM → COK,19:00,01:30 07 May,6h 30m,1 stop,No info,8073,Business,2,2 Stop(s),2019-04-18,18,0,0
Vistara,2019-03-06,Mumbai,Hyderabad,BOM → DEL → HYD,15:40,16:45 07 Mar,25h 5m,1 stop,No info,12395,Business,2,2 Stop(s),2019-02-15,19,0,1
Air India,2019-06-06,Kolkata,Banglore,CCU → BOM → BLR,09:25,21:50,12h 25m,1 stop,No info,8366,Business,2,2 Stop(s),2019-05-17,20,0,0
Air India,2019-04-03,Delhi,Cochin,DEL → MAA → COK,06:05,09:25 04 Apr,27h 20m,1 stop,No info,5117,Business,2,2 Stop(s),2019-03-13,21,0,1
Multiple carriers,2019-06-03,Delhi,Cochin,DEL → BOM → COK,08:45,19:00,10h 15m,1 stop,No info,12524,Business,2,2 Stop(s),2019-05-12,22,0,0
IndiGo,2019-05-15,Delhi,Cochin,DEL → BOM → COK,15:00,01:30 16 May,10h 30m,1 stop,No info,7191,Business,2,2 Stop(s),2019-04-22,23,0,0
Vistara,2019-05-24,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,non-stop,No info,3687,Economy,1,1 Stop(s),2019-04-30,24,0,0
IndiGo,2019-06-24,Delhi,Cochin,DEL → BOM → COK,10:35,21:00,10h 25m,1 stop,No info,5894,Business,2,2 Stop(s),2019-05-30,25,0,0
Vistara,2019-04-24,Banglore,Delhi,BLR → DEL,09:45,12:35,2h 50m,non-stop,No info,5403,Business,1,1 Stop(s),2019-03-29,26,0,1
Air India,2019-05-06,Mumbai,Hyderabad,BOM → HYD,13:55,15:25,1h 30m,non-stop,No info,3625,Economy,1,1 Stop(s),2019-04-09,27,0,0
Air India,2019-05-21,Delhi,Cochin,DEL → BHO → BOM → COK,05:55,19:15,13h 20m,2 stops,No info,10861,Business,3,3 Stop(s),2019-04-23,28,0,0
IndiGo,2019-03-12,Chennai,Kolkata,MAA → CCU,13:20,15:35,2h 15m,non-stop,No info,6297,Business,1,1 Stop(s),2019-02-11,29,0,1
Jet Airways,2019-06-01,Mumbai,Hyderabad,BOM → HYD,07:05,08:30,1h 25m,non-stop,No info,5678,Business,1,1 Stop(s),2019-05-02,30,0,0
Jet Airways,2019-03-09,Banglore,New Delhi,BLR → BOM → DEL,05:45,08:15 13 Mar,26h 30m,1 stop,In-flight meal not included,9134,Business,2,2 Stop(s),2019-02-06,31,0,1
Multiple carriers,2019-06-24,Delhi,Cochin,DEL → BOM → COK,11:40,19:00,7h 20m,1 stop,In-flight meal not included,10791,Business,2,2 Stop(s),2019-05-23,32,0,0
Jet Airways,2019-06-24,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,12:35 25 Jun,13h 30m,2 stops,No info,12819,Business,3,3 Stop(s),2019-05-22,33,0,0
IndiGo,2019-03-21,Delhi,Cochin,DEL → BLR → COK,05:05,10:05,5h,1 stop,No info,6893,Business,2,2 Stop(s),2019-02-15,34,1,1
Vistara,2019-03-09,Banglore,New Delhi,BLR → DEL,09:50,12:35,2h 45m,non-stop,No info,7240,Business,1,1 Stop(s),2019-02-02,35,0,1
GoAir,2019-04-03,Banglore,Delhi,BLR → DEL,11:40,14:30,2h 50m,non-stop,No info,3898,Economy,1,1 Stop(s),2019-02-26,36,0,1
IndiGo,2019-04-03,Mumbai,Hyderabad,BOM → HYD,06:25,07:55,1h 30m,non-stop,No info,4049,Economy,1,1 Stop(s),2019-02-25,37,0,1
Jet Airways,2019-06-15,Delhi,Cochin,DEL → BOM → COK,17:30,12:35 16 Jun,19h 5m,1 stop,In-flight meal not included,10262,Business,2,2 Stop(s),2019-05-08,38,0,0
SpiceJet,2019-03-21,Chennai,Kolkata,MAA → CCU,08:20,10:35,2h 15m,non-stop,No check-in baggage included,3332,Economy,1,1 Stop(s),2019-02-10,39,1,1
Jet Airways,2019-06-09,Kolkata,Banglore,CCU → BOM → BLR,21:10,12:00 10 Jun,14h 50m,1 stop,In-flight meal not included,10844,Business,2,2 Stop(s),2019-04-30,40,0,0
Jet Airways,2019-03-24,Banglore,New Delhi,BLR → DEL,19:55,22:35,2h 40m,non-stop,No info,7229,Business,1,1 Stop(s),2019-02-11,41,0,1
Jet Airways,2019-05-06,Kolkata,Banglore,CCU → BOM → BLR,06:30,04:40 07 May,22h 10m,1 stop,No info,13941,Business,2,2 Stop(s),2019-03-25,42,0,0
IndiGo,2019-06-27,Delhi,Cochin,DEL → BOM → COK,11:25,21:00,9h 35m,1 stop,No info,5894,Business,2,2 Stop(s),2019-05-15,43,0,0
Multiple carriers,2019-05-18,Delhi,Cochin,DEL → BOM → COK,09:00,19:00,10h,1 stop,No info,10197,Business,2,2 Stop(s),2019-04-04,44,1,1
Jet Airways,2019-03-06,Banglore,New Delhi,BLR → BOM → DEL,14:05,11:25 07 Mar,21h 20m,1 stop,In-flight meal not included,13712,Business,2,2 Stop(s),2019-01-20,45,0,1
IndiGo,2019-06-24,Delhi,Cochin,DEL → MAA → COK,02:00,07:25,5h 25m,1 stop,No info,5636,Business,2,2 Stop(s),2019-05-09,46,0,0
Jet Airways,2019-06-06,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,04:25 07 Jun,18h 45m,2 stops,No info,13014,Business,3,3 Stop(s),2019-04-20,47,0,0
Jet Airways,2019-04-01,Kolkata,Banglore,CCU → BOM → BLR,08:25,20:45,12h 20m,1 stop,In-flight meal not included,7064,Business,2,2 Stop(s),2019-02-12,48,0,1
Jet Airways,2019-05-24,Kolkata,Banglore,CCU → DEL → BLR,20:25,14:25 25 May,18h,1 stop,In-flight meal not included,10703,Business,2,2 Stop(s),2019-04-05,49,0,0
Multiple carriers,2019-05-27,Delhi,Cochin,DEL → HYD → COK,13:15,22:30,9h 15m,1 stop,No info,9646,Business,2,2 Stop(s),2019-04-07,50,0,0
Multiple carriers,2019-03-06,Delhi,Cochin,DEL → BOM → COK,02:15,13:20,11h 5m,1 stop,No info,17057,First Class,2,2 Stop(s),2019-01-14,51,0,1
Jet Airways,2019-03-12,Banglore,New Delhi,BLR → BOM → DEL,16:55,10:25 13 Mar,17h 30m,1 stop,No info,13817,Business,2,2 Stop(s),2019-01-19,52,0,1
Air India,2019-03-06,Delhi,Cochin,DEL → BHO → BOM → COK,05:55,19:15,13h 20m,2 stops,No info,13748,Business,3,3 Stop(s),2019-01-12,53,0,1
Air India,2019-04-21,Kolkata,Banglore,CCU → BLR,20:45,23:20,2h 35m,non-stop,No info,4880,Economy,1,1 Stop(s),2019-02-26,54,1,1
IndiGo,2019-06-21,Chennai,Kolkata,MAA → CCU,05:15,07:40,2h 25m,non-stop,No info,3540,Economy,1,1 Stop(s),2019-04-27,55,1,1
SpiceJet,2019-05-15,Banglore,Delhi,BLR → DEL,05:55,08:35,2h 40m,non-stop,No check-in baggage included,3257,Economy,1,1 Stop(s),2019-03-20,56,0,0
Jet Airways,2019-06-03,Banglore,Delhi,BLR → DEL,19:50,22:50,3h,non-stop,In-flight meal not included,6478,Business,1,1 Stop(s),2019-04-07,57,0,0
Jet Airways,2019-06-18,Mumbai,Hyderabad,BOM → HYD,07:05,08:30,1h 25m,non-stop,No info,8040,Business,1,1 Stop(s),2019-04-21,58,0,0
Jet Airways,2019-06-12,Delhi,Cochin,DEL → ATQ → BOM → COK,20:00,12:35 13 Jun,16h 35m,2 stops,No info,14300,Business,3,3 Stop(s),2019-04-14,59,0,0
Jet Airways,2019-05-15,Kolkata,Banglore,CCU → BOM → BLR,08:25,20:45,12h 20m,1 stop,No info,14781,Business,2,2 Stop(s),2019-05-05,10,0,0
Jet Airways,2019-06-09,Kolkata,Banglore,CCU → BOM → BLR,20:00,08:15 10 Jun,12h 15m,1 stop,No info,14939,Business,2,2 Stop(s),2019-05-29,11,0,0
Jet Airways,2019-06-24,Delhi,Cochin,DEL → BOM → COK,20:55,04:25 25 Jun,7h 30m,1 stop,In-flight meal not included,10262,Business,2,2 Stop(s),2019-06-12,12,0,0
Air India,2019-05-12,Kolkata,Banglore,CCU → MAA → BLR,14:35,14:35 13 May,24h,1 stop,No info,6528,Business,2,2 Stop(s),2019-04-29,13,1,1
Air India,2019-05-01,Banglore,Delhi,BLR → DEL,06:10,08:55,2h 45m,non-stop,No info,6121,Business,1,1 Stop(s),2019-04-17,14,1,1
Jet Airways,2019-05-18,Delhi,Cochin,DEL → JAI → BOM → COK,19:30,04:25 19 May,8h 55m,2 stops,In-flight meal not included,13029,Business,3,3 Stop(s),2019-05-03,15,1,1
Multiple carriers,2019-03-27,Delhi,Cochin,DEL → BOM → COK,11:40,18:50,7h 10m,1 stop,No info,11421,Business,2,2 Stop(s),2019-03-11,16,0,1
Multiple carriers,2019-03-27,Delhi,Cochin,DEL → BOM → COK,04:45,19:15,14h 30m,1 stop,No info,7574,Business,2,2 Stop(s),2019-03-10,17,0,1
Air India,2019-05-09,Delhi,Cochin,DEL → JDH → BOM → COK,12:55,19:15 10 May,30h 20m,2 stops,No info,11596,Business,3,3 Stop(s),2019-04-21,18,0,0
Jet Airways,2019-05-24,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,19:00 25 May,19h 55m,2 stops,No info,15129,First Class,3,3 Stop(s),2019-05-05,19,0,0
Jet Airways,2019-03-18,Banglore,New Delhi,BLR → BOM → DEL,14:05,05:05 16 Mar,15h,1 stop,No info,13555,Business,2,2 Stop(s),2019-02-26,20,0,1
IndiGo,2019-04-12,Banglore,Delhi,BLR → DEL,18:55,21:50,2h 55m,non-stop,No info,5780,Business,1,1 Stop(s),2019-03-22,21,0,1
Vistara,2019-05-12,Kolkata,Banglore,CCU → DEL → BLR,20:20,09:05 13 May,12h 45m,1 stop,No info,9397,Business,2,2 Stop(s),2019-04-20,22,1,1
Jet Airways,2019-03-06,Delhi,Cochin,DEL → BOM → COK,18:15,04:25 07 Mar,10h 10m,1 stop,No info,17024,First Class,2,2 Stop(s),2019-02-11,23,0,1
GoAir,2019-06-27,Delhi,Cochin,DEL → BOM → COK,07:00,12:55,5h 55m,1 stop,No info,5281,Business,2,2 Stop(s),2019-06-03,24,0,0
Multiple carriers,2019-05-18,Delhi,Cochin,DEL → HYD → COK,07:05,22:30,15h 25m,1 stop,No info,10348,Business,2,2 Stop(s),2019-04-23,25,1,1
Air India,2019-03-06,Delhi,Cochin,DEL → MAA → COK,17:20,09:25 07 Mar,16h 5m,1 stop,No info,12677,Business,2,2 Stop(s),2019-02-08,26,0,1
Multiple carriers,2019-03-03,Delhi,Cochin,DEL → BOM → COK,15:25,01:35 04 Mar,10h 10m,1 stop,No info,15147,First Class,2,2 Stop(s),2019-02-04,27,0,1
Vistara,2019-06-12,Banglore,Delhi,BLR → DEL,07:00,09:40,2h 40m,non-stop,No info,4668,Economy,1,1 Stop(s),2019-05-15,28,0,0
Jet Airways,2019-05-09,Delhi,Cochin,DEL → BOM → COK,07:05,19:00,11h 55m,1 stop,No info,15554,First Class,2,2 Stop(s),2019-04-10,29,0,0
SpiceJet,2019-04-09,Banglore,Delhi,BLR → DEL,05:55,08:35,2h 40m,non-stop,No info,3971,Economy,1,1 Stop(s),2019-03-10,30,0,1
Air India,2019-05-03,Mumbai,Hyderabad,BOM → HYD,15:00,16:25,1h 25m,non-stop,No info,3100,Economy,1,1 Stop(s),2019-04-02,31,0,0
Jet Airways,2019-05-06,Kolkata,Banglore,CCU → BOM → BLR,20:00,10:05 07 May,14h 5m,1 stop,In-flight meal not included,9663,Business,2,2 Stop(s),2019-04-04,32,0,0
Air India,2019-03-01,Delhi,Cochin,DEL → BOM → COK,23:00,19:15 02 Mar,20h 15m,1 stop,No info,27430,First Class,2,2 Stop(s),2019-01-27,33,1,1
IndiGo,2019-05-12,Chennai,Kolkata,MAA → CCU,05:15,07:40,2h 25m,non-stop,No info,3540,Economy,1,1 Stop(s),2019-04-08,34,1,1
Air India,2019-05-21,Kolkata,Banglore,CCU → BBI → BOM → BLR,12:00,11:10 22 May,23h 10m,2 stops,No info,10676,Business,3,3 Stop(s),2019-04-16,35,0,0
Jet Airways,2019-06-12,Kolkata,Banglore,CCU → BOM → BLR,14:05,08:15 13 Jun,18h 10m,1 stop,No info,13044,Business,2,2 Stop(s),2019-05-07,36,0,0
Jet Airways,2019-05-06,Kolkata,Banglore,CCU → BOM → BLR,20:00,12:00 07 May,16h,1 stop,No info,14388,Business,2,2 Stop(s),2019-03-30,37,0,0
IndiGo,2019-06-24,Banglore,Delhi,BLR → DEL,04:00,06:50,2h 50m,non-stop,No info,3943,Economy,1,1 Stop(s),2019-05-17,38,0,0
IndiGo,2019-06-03,Chennai,Kolkata,MAA → CCU,14:45,17:05,2h 20m,non-stop,No info,3597,Economy,1,1 Stop(s),2019-04-25,39,0,0
Air India,2019-03-21,Banglore,New Delhi,BLR → MAA → DEL,11:50,19:50,8h,1 stop,No info,5932,Business,2,2 Stop(s),2019-02-09,40,1,1
Jet Airways,2019-06-15,Delhi,Cochin,DEL → BOM → COK,11:30,04:25 16 Jun,16h 55m,1 stop,In-flight meal not included,10262,Business,2,2 Stop(s),2019-05-05,41,0,0
Vistara,2019-05-12,Delhi,Cochin,DEL → COK,14:40,17:50,3h 10m,non-stop,No info,6216,Business,1,1 Stop(s),2019-03-31,42,1,1
IndiGo,2019-06-15,Kolkata,Banglore,CCU → BLR,20:25,23:10,2h 45m,non-stop,No info,4804,Economy,1,1 Stop(s),2019-05-03,43,0,0
Multiple carriers,2019-05-21,Delhi,Cochin,DEL → BOM → COK,11:30,01:30 22 May,14h,1 stop,No info,14067,Business,2,2 Stop(s),2019-04-07,44,0,0
Jet Airways,2019-05-18,Delhi,Cochin,DEL → AMD → BOM → COK,19:10,19:00 19 May,23h 50m,2 stops,No info,15129,First Class,3,3 Stop(s),2019-04-03,45,1,1
Jet Airways,2019-06-06,Delhi,Cochin,DEL → NAG → BOM → COK,06:45,04:25 07 Jun,21h 40m,2 stops,No info,13376,Business,3,3 Stop(s),2019-04-21,46,0,0
Air India,2019-06-27,Delhi,Cochin,DEL → GOI → BOM → COK,22:00,19:15 28 Jun,21h 15m,2 stops,No info,10441,Business,3,3 Stop(s),2019-05-11,47,0,0
Jet Airways,2019-05-24,Banglore,Delhi,BLR → DEL,06:00,08:45,2h 45m,non-stop,In-flight meal not included,4030,Economy,1,1 Stop(s),2019-04-06,48,0,0
Jet Airways,2019-03-03,Delhi,Cochin,DEL → BOM → COK,08:00,18:50,10h 50m,1 stop,No info,17024,First Class,2,2 Stop(s),2019-01-13,49,0,1
Multiple carriers,2019-04-09,Delhi,Cochin,DEL → BOM → COK,17:30,01:30 10 Apr,8h,1 stop,No info,13017,Business,2,2 Stop(s),2019-02-18,50,0,1
GoAir,2019-06-06,Kolkata,Banglore,CCU → BOM → BLR,23:30,07:45 07 Jun,8h 15m,1 stop,No info,6686,Business,2,2 Stop(s),2019-04-16,51,0,0
IndiGo,2019-06-15,Delhi,Cochin,DEL → MAA → COK,02:00,07:25,5h 25m,1 stop,No info,5636,Business,2,2 Stop(s),2019-04-24,52,0,0
IndiGo,2019-06-09,Delhi,Cochin,DEL → HYD → COK,07:35,16:10,8h 35m,1 stop,No info,6442,Business,2,2 Stop(s),2019-04-17,53,0,0
Multiple carriers,2019-05-21,Delhi,Cochin,DEL → HYD → COK,13:05,00:55 22 May,11h 50m,1 stop,No info,9486,Business,2,2 Stop(s),2019-03-28,54,0,0
Jet Airways,2019-05-21,Kolkata,Banglore,CCU → BOM → BLR,20:00,23:35 22 May,27h 35m,1 stop,In-flight meal not included,10844,Business,2,2 Stop(s),2019-03-27,55,0,0
Jet Airways,2019-06-03,Delhi,Cochin,DEL → ATQ → BOM → COK,20:00,04:25 04 Jun,8h 25m,2 stops,In-flight meal not included,15318,First Class,3,3 Stop(s),2019-04-08,56,0,0
Air India,2019-04-03,Delhi,Cochin,DEL → MAA → COK,12:30,09:25 04 Apr,20h 55m,1 stop,No info,5117,Business,2,2 Stop(s),2019-02-05,57,0,1
IndiGo,2019-06-24,Delhi,Cochin,DEL → BLR → COK,15:10,20:00,4h 50m,1 stop,No info,6147,Business,2,2 Stop(s),2019-04-27,58,0,0
Multiple carriers,2019-06-09,Delhi,Cochin,DEL → BOM → COK,12:50,21:00,8h 10m,1 stop,No info,7005,Business,2,2 Stop(s),2019-04-11,59,0,0
SpiceJet,2019-04-03,Kolkata,Banglore,CCU → BLR,22:20,00:40 04 Apr,2h 20m,non-stop,No info,3873,Economy,1,1 Stop(s),2019-03-24,10,0,1
Jet Airways,2019-03-21,Delhi,Cochin,DEL → BDQ → BOM → COK,18:25,18:50 22 Mar,24h 25m,2 stops,In-flight meal not included,9270,Business,3,3 Stop(s),2019-03-10,11,1,1
GoAir,2019-06-27,Banglore,Delhi,BLR → DEL,11:40,14:30,2h 50m,non-stop,No info,3898,Economy,1,1 Stop(s),2019-06-15,12,0,0
Jet Airways,2019-05-12,Kolkata,Banglore,CCU → BOM → BLR,08:25,20:45,12h 20m,1 stop,No info,14781,Business,2,2 Stop(s),2019-04-29,13,1,1
