"Airline","Date_of_Journey","Source","Destination","Route","Dep_Time","Arrival_Time","Duration","Total_Stops","Additional_Info","Price","Cabin_Class","Number_of_Stops","Flight_Layover","Booking_Date","Days_Until_Departure","Is_Holiday_Season","Is_Peak_Season","ATF_Price_INR"
"IndiGo","2019-04-18 00:00:00","Kolkata","Banglore","CCU → BLR","20:20","22:55","2h 35m","non-stop","No info","4174","Business","1","1 Stop(s)","2019-03-24 00:00:00","25","1","1","61924.424890464"
"Air India","2019-06-24 00:00:00","Chennai","Kolkata","MAA → CCU","11:40","13:55","2h 15m","non-stop","No info","4667","Economy","1","1 Stop(s)","2019-05-19 00:00:00","36","0","0","79563.098100051"
"Jet Airways","2019-05-09 00:00:00","Kolkata","Banglore","CCU → BOM → BLR","21:10","09:20 10 May","12h 10m","1 stop","In-flight meal not included","9663","Business","2","2 Stop(s)","2019-04-24 00:00:00","15","0","0","68923.108525654"
"IndiGo","2019-04-24 00:00:00","Kolkata","Banglore","CCU → BLR","17:15","19:50","2h 35m","non-stop","No info","4804","First Class","1","1 Stop(s)","2019-04-20 00:00:00","4","0","1","88582.47034551"
"Air India","2019-03-03 00:00:00","Delhi","Cochin","DEL → AMD → BOM → COK","16:40","19:15 04 Mar","26h 35m","2 stops","No info","14011","First Class","3","3 Stop(s)","2019-02-11 00:00:00","20","0","1","73110.95861398"
"SpiceJet","2019-04-15 00:00:00","Delhi","Cochin","DEL → PNQ → COK","08:45","13:15","4h 30m","1 stop","No info","5830","First Class","2","2 Stop(s)","2019-03-15 00:00:00","31","0","1","78145.365592351"
"Jet Airways","2019-06-12 00:00:00","Delhi","Cochin","DEL → BOM → COK","14:00","12:35 13 Jun","22h 35m","1 stop","In-flight meal not included","10262","Business","2","2 Stop(s)","2019-05-29 00:00:00","14","0","0","81427.238986473"
"Air India","2019-06-12 00:00:00","Delhi","Cochin","DEL → CCU → BOM → COK","20:15","19:15 13 Jun","23h","2 stops","No info","13381","Business","3","3 Stop(s)","2019-05-28 00:00:00","15","0","0","87584.47841234"
"Jet Airways","2019-05-27 00:00:00","Delhi","Cochin","DEL → BOM → COK","16:00","12:35 28 May","20h 35m","1 stop","In-flight meal not included","12898","First Class","2","2 Stop(s)","2019-05-21 00:00:00","6","0","0","86896.397875532"
"GoAir","2019-03-06 00:00:00","Delhi","Cochin","DEL → BOM → COK","14:10","19:20","5h 10m","1 stop","No info","19495","First Class","2","2 Stop(s)","2019-02-03 00:00:00","31","0","1","77053.018466059"
"Air India","2019-03-21 00:00:00","Banglore","New Delhi","BLR → COK → DEL","22:00","13:20 19 Mar","15h 20m","1 stop","No info","6955","First Class","2","2 Stop(s)","2019-03-06 00:00:00","15","1","1","65897.470850402"
"IndiGo","2019-04-03 00:00:00","Banglore","Delhi","BLR → DEL","04:00","06:50","2h 50m","non-stop","No info","3943","Business","1","1 Stop(s)","2019-02-28 00:00:00","34","0","1","73989.323185689"
"IndiGo","2019-05-01 00:00:00","Banglore","Delhi","BLR → DEL","18:55","21:50","2h 55m","non-stop","No info","4823","Economy","1","1 Stop(s)","2019-04-03 00:00:00","28","1","1","63953.935872132"
"Jet Airways","2019-05-06 00:00:00","Kolkata","Banglore","CCU → BOM → BLR","18:55","08:15 07 May","13h 20m","1 stop","In-flight meal not included","7757","Business","2","2 Stop(s)","2019-03-14 00:00:00","53","0","0","89302.83264571"
"Jet Airways","2019-06-09 00:00:00","Delhi","Cochin","DEL → IDR → BOM → COK","21:25","12:35 10 Jun","15h 10m","2 stops","No info","13292","Economy","3","3 Stop(s)","2019-05-17 00:00:00","23","0","0","77229.757465487"
"IndiGo","2019-06-01 00:00:00","Delhi","Cochin","DEL → LKO → COK","21:50","03:35 02 Jun","5h 45m","1 stop","No info","8238","Economy","2","2 Stop(s)","2019-05-11 00:00:00","21","0","0","78540.462869965"
"GoAir","2019-05-15 00:00:00","Delhi","Cochin","DEL → BOM → COK","07:00","12:55","5h 55m","1 stop","No info","7682","Business","2","2 Stop(s)","2019-04-30 00:00:00","15","0","0","80775.947702333"
"Vistara","2019-06-18 00:00:00","Banglore","Delhi","BLR → DEL","09:45","12:35","2h 50m","non-stop","No info","4668","Economy","1","1 Stop(s)","2019-05-26 00:00:00","23","0","0","81116.657506211"
"Vistara","2019-06-15 00:00:00","Chennai","Kolkata","MAA → CCU","07:05","09:20","2h 15m","non-stop","No info","3687","Business","1","1 Stop(s)","2019-05-24 00:00:00","22","0","0","86757.70065047"
"Vistara","2019-06-18 00:00:00","Chennai","Kolkata","MAA → CCU","07:05","09:20","2h 15m","non-stop","No info","3687","Business","1","1 Stop(s)","2019-06-03 00:00:00","15","0","0","78466.786928515"
"Air India","2019-05-01 00:00:00","Kolkata","Banglore","CCU → GAU → DEL → BLR","09:50","23:15","13h 25m","2 stops","No info","13227","Business","3","3 Stop(s)","2019-04-12 00:00:00","19","1","1","68100.239195765"
"IndiGo","2019-04-06 00:00:00","Banglore","Delhi","BLR → DEL","04:00","06:50","2h 50m","non-stop","No info","4423","First Class","1","1 Stop(s)","2019-02-09 00:00:00","56","1","1","80454.608973105"
"Jet Airways","2019-06-15 00:00:00","Delhi","Cochin","DEL → NAG → BOM → COK","14:35","12:35 16 Jun","22h","2 stops","In-flight meal not included","10919","Economy","3","3 Stop(s)","2019-04-30 00:00:00","46","0","0","80775.947702333"
"Jet Airways","2019-05-18 00:00:00","Delhi","Cochin","DEL → BOM → COK","07:05","12:35","5h 30m","1 stop","In-flight meal not included","12373","Business","2","2 Stop(s)","2019-04-09 00:00:00","39","1","1","84868.200876521"
"IndiGo","2019-06-27 00:00:00","Delhi","Cochin","DEL → BOM → COK","10:35","21:00","10h 25m","1 stop","No info","5894","Business","2","2 Stop(s)","2019-05-27 00:00:00","31","0","0","63006.806619369"
"SpiceJet","2019-05-21 00:00:00","Kolkata","Banglore","CCU → MAA → BLR","15:05","20:20","5h 15m","1 stop","No info","4649","Business","2","2 Stop(s)","2019-04-11 00:00:00","40","0","0","80334.496103887"
"Air India","2019-05-18 00:00:00","Kolkata","Banglore","CCU → BLR","14:15","16:45","2h 30m","non-stop","No info","6245","Economy","1","1 Stop(s)","2019-03-29 00:00:00","50","1","1","62818.215322753"
"Jet Airways","2019-03-06 00:00:00","Banglore","New Delhi","BLR → BOM → DEL","07:00","13:15","6h 15m","1 stop","No info","19225","Economy","2","2 Stop(s)","2019-01-27 00:00:00","38","0","1","64300.598622271"
"Jet Airways","2019-06-03 00:00:00","Delhi","Cochin","DEL → BOM → COK","07:05","19:00","11h 55m","1 stop","No info","14924","Economy","2","2 Stop(s)","2019-05-16 00:00:00","18","0","0","77726.182837445"
"Multiple carriers","2019-05-21 00:00:00","Delhi","Cochin","DEL → HYD → COK","07:05","18:10","11h 5m","1 stop","No info","9646","Economy","2","2 Stop(s)","2019-04-12 00:00:00","39","0","0","68100.239195765"
"Air India","2019-03-15 00:00:00","Banglore","New Delhi","BLR → BOM → DEL","06:45","15:15","8h 30m","1 stop","No info","8714","Business","2","2 Stop(s)","2019-02-22 00:00:00","21","0","1","89651.215141777"
"Jet Airways","2019-05-18 00:00:00","Delhi","Cochin","DEL → BOM → COK","20:55","19:00 19 May","22h 5m","1 stop","In-flight meal not included","12373","Economy","2","2 Stop(s)","2019-04-29 00:00:00","19","1","1","86452.060855646"
"Air Asia","2019-05-06 00:00:00","Banglore","Delhi","BLR → DEL","11:10","13:55","2h 45m","non-stop","No info","3383","Business","1","1 Stop(s)","2019-03-14 00:00:00","53","0","0","89302.83264571"
"Multiple carriers","2019-03-21 00:00:00","Delhi","Cochin","DEL → BOM → COK","09:00","21:00","12h","1 stop","No info","13062","Business","2","2 Stop(s)","2019-02-08 00:00:00","41","1","1","88312.442355439"
"SpiceJet","2019-03-24 00:00:00","Banglore","New Delhi","BLR → DEL","05:45","08:35","2h 50m","non-stop","No check-in baggage included","3527","Business","1","1 Stop(s)","2019-03-23 00:00:00","1","0","1","72427.88983544"
"IndiGo","2019-05-27 00:00:00","Banglore","Delhi","BLR → DEL","04:00","06:50","2h 50m","non-stop","No info","3943","Economy","1","1 Stop(s)","2019-04-08 00:00:00","49","0","0","60603.226385625"
"Air India","2019-05-03 00:00:00","Chennai","Kolkata","MAA → CCU","11:40","13:55","2h 15m","non-stop","No info","4667","First Class","1","1 Stop(s)","2019-04-17 00:00:00","16","0","0","77761.257938155"
"Air India","2019-05-15 00:00:00","Kolkata","Banglore","CCU → HYD → BLR","19:00","11:05 16 May","16h 5m","1 stop","No info","6117","First Class","2","2 Stop(s)","2019-03-21 00:00:00","55","0","0","63561.831568627"
"Jet Airways","2019-06-27 00:00:00","Delhi","Cochin","DEL → AMD → BOM → COK","23:05","19:00 28 Jun","19h 55m","2 stops","In-flight meal not included","11150","First Class","3","3 Stop(s)","2019-05-19 00:00:00","39","0","0","79563.098100051"
"Jet Airways","2019-03-09 00:00:00","Delhi","Cochin","DEL → COK","11:00","14:15","3h 15m","non-stop","In-flight meal not included","7202","Business","1","1 Stop(s)","2019-02-18 00:00:00","19","0","1","69462.850527726"
"Jet Airways","2019-05-01 00:00:00","Kolkata","Banglore","CCU → DEL → BLR","09:35","10:55 02 May","25h 20m","1 stop","No info","12121","Economy","2","2 Stop(s)","2019-04-30 00:00:00","1","1","1","80775.947702333"
"IndiGo","2019-03-24 00:00:00","Banglore","New Delhi","BLR → DEL","22:20","01:10 28 Mar","2h 50m","non-stop","No info","4377","First Class","1","1 Stop(s)","2019-03-14 00:00:00","10","0","1","89302.83264571"
"IndiGo","2019-06-18 00:00:00","Banglore","Delhi","BLR → DEL","21:15","00:15 19 Jun","3h","non-stop","No info","3943","First Class","1","1 Stop(s)","2019-06-11 00:00:00","7","0","0","73606.280480342"
"Air Asia","2019-04-03 00:00:00","Banglore","Delhi","BLR → DEL","23:55","02:45 04 Apr","2h 50m","non-stop","No info","4483","Economy","1","1 Stop(s)","2019-02-08 00:00:00","54","0","1","88312.442355439"
"Jet Airways","2019-03-24 00:00:00","Kolkata","Banglore","CCU → BOM → BLR","19:45","12:00 25 Mar","16h 15m","1 stop","No info","14231","Economy","2","2 Stop(s)","2019-02-15 00:00:00","37","0","1","80119.136088545"
"Air India","2019-03-01 00:00:00","Banglore","New Delhi","BLR → BOM → AMD → DEL","08:50","23:55","15h 5m","2 stops","No info","17345","First Class","3","3 Stop(s)","2019-02-19 00:00:00","10","1","1","70911.323128279"
"Vistara","2019-03-06 00:00:00","Chennai","Kolkata","MAA → CCU","07:05","09:20","2h 15m","non-stop","No info","7414","Economy","1","1 Stop(s)","2019-01-22 00:00:00","43","0","1","83974.756926502"
"Multiple carriers","2019-05-06 00:00:00","Delhi","Cochin","DEL → BOM → COK","19:00","01:30 07 May","6h 30m","1 stop","No info","8073","First Class","2","2 Stop(s)","2019-03-10 00:00:00","57","0","0","85138.347224964"
"Vistara","2019-03-06 00:00:00","Mumbai","Hyderabad","BOM → DEL → HYD","15:40","16:45 07 Mar","25h 5m","1 stop","No info","12395","Economy","2","2 Stop(s)","2019-02-12 00:00:00","22","0","1","80928.935877818"
"Air India","2019-06-06 00:00:00","Kolkata","Banglore","CCU → BOM → BLR","09:25","21:50","12h 25m","1 stop","No info","8366","Business","2","2 Stop(s)","2019-04-26 00:00:00","41","0","0","71895.17222541"
"Air India","2019-04-03 00:00:00","Delhi","Cochin","DEL → MAA → COK","06:05","09:25 04 Apr","27h 20m","1 stop","No info","5117","Economy","2","2 Stop(s)","2019-03-09 00:00:00","25","0","1","62913.038273792"
"Multiple carriers","2019-06-03 00:00:00","Delhi","Cochin","DEL → BOM → COK","08:45","19:00","10h 15m","1 stop","No info","12524","Economy","2","2 Stop(s)","2019-05-30 00:00:00","4","0","0","89965.410197036"
"IndiGo","2019-05-15 00:00:00","Delhi","Cochin","DEL → BOM → COK","15:00","01:30 16 May","10h 30m","1 stop","No info","7191","Business","2","2 Stop(s)","2019-05-03 00:00:00","12","0","0","88682.509041697"
"Vistara","2019-05-24 00:00:00","Chennai","Kolkata","MAA → CCU","07:05","09:20","2h 15m","non-stop","No info","3687","First Class","1","1 Stop(s)","2019-04-30 00:00:00","24","0","0","80775.947702333"
"IndiGo","2019-06-24 00:00:00","Delhi","Cochin","DEL → BOM → COK","10:35","21:00","10h 25m","1 stop","No info","5894","Economy","2","2 Stop(s)","2019-06-16 00:00:00","8","0","0","60351.42252555"
"Vistara","2019-04-24 00:00:00","Banglore","Delhi","BLR → DEL","09:45","12:35","2h 50m","non-stop","No info","5403","First Class","1","1 Stop(s)","2019-04-19 00:00:00","5","0","1","66692.448979219"
"Air India","2019-05-06 00:00:00","Mumbai","Hyderabad","BOM → HYD","13:55","15:25","1h 30m","non-stop","No info","3625","First Class","1","1 Stop(s)","2019-04-03 00:00:00","33","0","0","63953.935872132"
"Air India","2019-05-21 00:00:00","Delhi","Cochin","DEL → BHO → BOM → COK","05:55","19:15","13h 20m","2 stops","No info","10861","First Class","3","3 Stop(s)","2019-05-17 00:00:00","4","0","0","77229.757465487"
"IndiGo","2019-03-12 00:00:00","Chennai","Kolkata","MAA → CCU","13:20","15:35","2h 15m","non-stop","No info","6297","Economy","1","1 Stop(s)","2019-02-19 00:00:00","21","0","1","70911.323128279"
"Jet Airways","2019-06-01 00:00:00","Mumbai","Hyderabad","BOM → HYD","07:05","08:30","1h 25m","non-stop","No info","5678","First Class","1","1 Stop(s)","2019-05-08 00:00:00","24","0","0","69047.244500236"
"Jet Airways","2019-03-09 00:00:00","Banglore","New Delhi","BLR → BOM → DEL","05:45","08:15 13 Mar","26h 30m","1 stop","In-flight meal not included","9134","First Class","2","2 Stop(s)","2019-02-11 00:00:00","26","0","1","73110.95861398"
"Multiple carriers","2019-06-24 00:00:00","Delhi","Cochin","DEL → BOM → COK","11:40","19:00","7h 20m","1 stop","In-flight meal not included","10791","Business","2","2 Stop(s)","2019-06-21 00:00:00","3","0","0","61630.139650178"
"Jet Airways","2019-06-24 00:00:00","Delhi","Cochin","DEL → AMD → BOM → COK","23:05","12:35 25 Jun","13h 30m","2 stops","No info","12819","First Class","3","3 Stop(s)","2019-05-22 00:00:00","33","0","0","71026.856101437"
"IndiGo","2019-03-21 00:00:00","Delhi","Cochin","DEL → BLR → COK","05:05","10:05","5h","1 stop","No info","6893","Business","2","2 Stop(s)","2019-03-02 00:00:00","19","1","1","64769.087509366"
"Vistara","2019-03-09 00:00:00","Banglore","New Delhi","BLR → DEL","09:50","12:35","2h 45m","non-stop","No info","7240","Economy","1","1 Stop(s)","2019-02-21 00:00:00","16","0","1","73158.04540387"
"GoAir","2019-04-03 00:00:00","Banglore","Delhi","BLR → DEL","11:40","14:30","2h 50m","non-stop","No info","3898","Economy","1","1 Stop(s)","2019-03-28 00:00:00","6","0","1","75697.441604001"
"IndiGo","2019-04-03 00:00:00","Mumbai","Hyderabad","BOM → HYD","06:25","07:55","1h 30m","non-stop","No info","4049","First Class","1","1 Stop(s)","2019-03-14 00:00:00","20","0","1","89302.83264571"
"Jet Airways","2019-06-15 00:00:00","Delhi","Cochin","DEL → BOM → COK","17:30","12:35 16 Jun","19h 5m","1 stop","In-flight meal not included","10262","Economy","2","2 Stop(s)","2019-04-19 00:00:00","57","0","0","66692.448979219"
"SpiceJet","2019-03-21 00:00:00","Chennai","Kolkata","MAA → CCU","08:20","10:35","2h 15m","non-stop","No check-in baggage included","3332","Economy","1","1 Stop(s)","2019-01-22 00:00:00","58","1","1","83974.756926502"
"Jet Airways","2019-06-09 00:00:00","Kolkata","Banglore","CCU → BOM → BLR","21:10","12:00 10 Jun","14h 50m","1 stop","In-flight meal not included","10844","Business","2","2 Stop(s)","2019-05-26 00:00:00","14","0","0","81116.657506211"
"Jet Airways","2019-03-24 00:00:00","Banglore","New Delhi","BLR → DEL","19:55","22:35","2h 40m","non-stop","No info","7229","First Class","1","1 Stop(s)","2019-02-10 00:00:00","42","0","1","70785.237017214"
"Jet Airways","2019-05-06 00:00:00","Kolkata","Banglore","CCU → BOM → BLR","06:30","04:40 07 May","22h 10m","1 stop","No info","13941","Economy","2","2 Stop(s)","2019-04-09 00:00:00","27","0","0","84868.200876521"
"IndiGo","2019-06-27 00:00:00","Delhi","Cochin","DEL → BOM → COK","11:25","21:00","9h 35m","1 stop","No info","5894","Economy","2","2 Stop(s)","2019-06-13 00:00:00","14","0","0","85991.469777859"
"Multiple carriers","2019-05-18 00:00:00","Delhi","Cochin","DEL → BOM → COK","09:00","19:00","10h","1 stop","No info","10197","Business","2","2 Stop(s)","2019-04-05 00:00:00","43","1","1","68682.182788416"
"Jet Airways","2019-03-06 00:00:00","Banglore","New Delhi","BLR → BOM → DEL","14:05","11:25 07 Mar","21h 20m","1 stop","In-flight meal not included","13712","Business","2","2 Stop(s)","2019-02-08 00:00:00","26","0","1","88312.442355439"
"IndiGo","2019-06-24 00:00:00","Delhi","Cochin","DEL → MAA → COK","02:00","07:25","5h 25m","1 stop","No info","5636","Business","2","2 Stop(s)","2019-05-04 00:00:00","51","0","0","79319.705976889"
"Jet Airways","2019-06-06 00:00:00","Delhi","Cochin","DEL → JAI → BOM → COK","09:40","04:25 07 Jun","18h 45m","2 stops","No info","13014","Business","3","3 Stop(s)","2019-05-06 00:00:00","31","0","0","78191.796423838"
"Jet Airways","2019-04-01 00:00:00","Kolkata","Banglore","CCU → BOM → BLR","08:25","20:45","12h 20m","1 stop","In-flight meal not included","7064","First Class","2","2 Stop(s)","2019-03-01 00:00:00","31","0","1","67332.767760048"
"Jet Airways","2019-05-24 00:00:00","Kolkata","Banglore","CCU → DEL → BLR","20:25","14:25 25 May","18h","1 stop","In-flight meal not included","10703","Business","2","2 Stop(s)","2019-03-30 00:00:00","55","0","0","77278.394866685"
"Multiple carriers","2019-05-27 00:00:00","Delhi","Cochin","DEL → HYD → COK","13:15","22:30","9h 15m","1 stop","No info","9646","Economy","2","2 Stop(s)","2019-04-20 00:00:00","37","0","0","88582.47034551"
"Multiple carriers","2019-03-06 00:00:00","Delhi","Cochin","DEL → BOM → COK","02:15","13:20","11h 5m","1 stop","No info","17057","Economy","2","2 Stop(s)","2019-02-13 00:00:00","21","0","1","61806.764148878"
"Jet Airways","2019-03-12 00:00:00","Banglore","New Delhi","BLR → BOM → DEL","16:55","10:25 13 Mar","17h 30m","1 stop","No info","13817","First Class","2","2 Stop(s)","2019-02-24 00:00:00","16","0","1","66266.302682845"
"Air India","2019-03-06 00:00:00","Delhi","Cochin","DEL → BHO → BOM → COK","05:55","19:15","13h 20m","2 stops","No info","13748","Economy","3","3 Stop(s)","2019-01-17 00:00:00","48","0","1","60606.55192321"
"Air India","2019-04-21 00:00:00","Kolkata","Banglore","CCU → BLR","20:45","23:20","2h 35m","non-stop","No info","4880","First Class","1","1 Stop(s)","2019-03-02 00:00:00","50","1","1","64769.087509366"
"IndiGo","2019-06-21 00:00:00","Chennai","Kolkata","MAA → CCU","05:15","07:40","2h 25m","non-stop","No info","3540","First Class","1","1 Stop(s)","2019-06-13 00:00:00","8","1","1","85991.469777859"
"SpiceJet","2019-05-15 00:00:00","Banglore","Delhi","BLR → DEL","05:55","08:35","2h 40m","non-stop","No check-in baggage included","3257","Business","1","1 Stop(s)","2019-05-03 00:00:00","12","0","0","88682.509041697"
"Jet Airways","2019-06-03 00:00:00","Banglore","Delhi","BLR → DEL","19:50","22:50","3h","non-stop","In-flight meal not included","6478","Economy","1","1 Stop(s)","2019-04-25 00:00:00","39","0","0","84413.934591074"
"Jet Airways","2019-06-18 00:00:00","Mumbai","Hyderabad","BOM → HYD","07:05","08:30","1h 25m","non-stop","No info","8040","Economy","1","1 Stop(s)","2019-05-28 00:00:00","21","0","0","87584.47841234"
"Jet Airways","2019-06-12 00:00:00","Delhi","Cochin","DEL → ATQ → BOM → COK","20:00","12:35 13 Jun","16h 35m","2 stops","No info","14300","First Class","3","3 Stop(s)","2019-05-20 00:00:00","23","0","0","72942.553063019"
"Jet Airways","2019-05-15 00:00:00","Kolkata","Banglore","CCU → BOM → BLR","08:25","20:45","12h 20m","1 stop","No info","14781","Economy","2","2 Stop(s)","2019-03-31 00:00:00","45","0","0","87878.885927286"
"Jet Airways","2019-06-09 00:00:00","Kolkata","Banglore","CCU → BOM → BLR","20:00","08:15 10 Jun","12h 15m","1 stop","No info","14939","Business","2","2 Stop(s)","2019-05-18 00:00:00","22","0","0","79596.024595714"
"Jet Airways","2019-06-24 00:00:00","Delhi","Cochin","DEL → BOM → COK","20:55","04:25 25 Jun","7h 30m","1 stop","In-flight meal not included","10262","Business","2","2 Stop(s)","2019-05-19 00:00:00","36","0","0","79563.098100051"
"Air India","2019-05-12 00:00:00","Kolkata","Banglore","CCU → MAA → BLR","14:35","14:35 13 May","24h","1 stop","No info","6528","Business","2","2 Stop(s)","2019-05-11 00:00:00","1","1","1","78540.462869965"
"Air India","2019-05-01 00:00:00","Banglore","Delhi","BLR → DEL","06:10","08:55","2h 45m","non-stop","No info","6121","First Class","1","1 Stop(s)","2019-04-02 00:00:00","29","1","1","80022.31139891"
"Jet Airways","2019-05-18 00:00:00","Delhi","Cochin","DEL → JAI → BOM → COK","19:30","04:25 19 May","8h 55m","2 stops","In-flight meal not included","13029","First Class","3","3 Stop(s)","2019-03-24 00:00:00","55","1","1","61924.424890464"
"Multiple carriers","2019-03-27 00:00:00","Delhi","Cochin","DEL → BOM → COK","11:40","18:50","7h 10m","1 stop","No info","11421","Business","2","2 Stop(s)","2019-02-10 00:00:00","45","0","1","70785.237017214"
"Multiple carriers","2019-03-27 00:00:00","Delhi","Cochin","DEL → BOM → COK","04:45","19:15","14h 30m","1 stop","No info","7574","First Class","2","2 Stop(s)","2019-03-01 00:00:00","26","0","1","67332.767760048"
"Air India","2019-05-09 00:00:00","Delhi","Cochin","DEL → JDH → BOM → COK","12:55","19:15 10 May","30h 20m","2 stops","No info","11596","Business","3","3 Stop(s)","2019-04-19 00:00:00","20","0","0","66692.448979219"
"Jet Airways","2019-05-24 00:00:00","Delhi","Cochin","DEL → AMD → BOM → COK","23:05","19:00 25 May","19h 55m","2 stops","No info","15129","First Class","3","3 Stop(s)","2019-03-27 00:00:00","58","0","0","67961.684728183"
"Jet Airways","2019-03-18 00:00:00","Banglore","New Delhi","BLR → BOM → DEL","14:05","05:05 16 Mar","15h","1 stop","No info","13555","Economy","2","2 Stop(s)","2019-01-19 00:00:00","58","0","1","83344.702528496"
"IndiGo","2019-04-12 00:00:00","Banglore","Delhi","BLR → DEL","18:55","21:50","2h 55m","non-stop","No info","5780","Economy","1","1 Stop(s)","2019-03-01 00:00:00","42","0","1","67332.767760048"
"Vistara","2019-05-12 00:00:00","Kolkata","Banglore","CCU → DEL → BLR","20:20","09:05 13 May","12h 45m","1 stop","No info","9397","Business","2","2 Stop(s)","2019-03-26 00:00:00","47","1","1","76998.043626197"
"Jet Airways","2019-03-06 00:00:00","Delhi","Cochin","DEL → BOM → COK","18:15","04:25 07 Mar","10h 10m","1 stop","No info","17024","Economy","2","2 Stop(s)","2019-01-09 00:00:00","56","0","1","88909.882815031"
"GoAir","2019-06-27 00:00:00","Delhi","Cochin","DEL → BOM → COK","07:00","12:55","5h 55m","1 stop","No info","5281","First Class","2","2 Stop(s)","2019-05-01 00:00:00","57","0","0","81757.628394589"
"Multiple carriers","2019-05-18 00:00:00","Delhi","Cochin","DEL → HYD → COK","07:05","22:30","15h 25m","1 stop","No info","10348","First Class","2","2 Stop(s)","2019-04-03 00:00:00","45","1","1","63953.935872132"
"Air India","2019-03-06 00:00:00","Delhi","Cochin","DEL → MAA → COK","17:20","09:25 07 Mar","16h 5m","1 stop","No info","12677","First Class","2","2 Stop(s)","2019-02-04 00:00:00","30","0","1","60563.694013091"
"Multiple carriers","2019-03-03 00:00:00","Delhi","Cochin","DEL → BOM → COK","15:25","01:35 04 Mar","10h 10m","1 stop","No info","15147","Business","2","2 Stop(s)","2019-01-09 00:00:00","53","0","1","88909.882815031"
"Vistara","2019-06-12 00:00:00","Banglore","Delhi","BLR → DEL","07:00","09:40","2h 40m","non-stop","No info","4668","First Class","1","1 Stop(s)","2019-06-06 00:00:00","6","0","0","84219.56876175"
"Jet Airways","2019-05-09 00:00:00","Delhi","Cochin","DEL → BOM → COK","07:05","19:00","11h 55m","1 stop","No info","15554","Business","2","2 Stop(s)","2019-04-14 00:00:00","25","0","0","88865.656353523"
"SpiceJet","2019-04-09 00:00:00","Banglore","Delhi","BLR → DEL","05:55","08:35","2h 40m","non-stop","No info","3971","First Class","1","1 Stop(s)","2019-02-10 00:00:00","58","0","1","70785.237017214"
"Air India","2019-05-03 00:00:00","Mumbai","Hyderabad","BOM → HYD","15:00","16:25","1h 25m","non-stop","No info","3100","Economy","1","1 Stop(s)","2019-04-29 00:00:00","4","0","0","86452.060855646"
"Jet Airways","2019-05-06 00:00:00","Kolkata","Banglore","CCU → BOM → BLR","20:00","10:05 07 May","14h 5m","1 stop","In-flight meal not included","9663","Business","2","2 Stop(s)","2019-03-09 00:00:00","58","0","0","62913.038273792"
